Comunidades y Ciudades AutÛnomas;TamaÒo de los municipios;Periodo;Total
09 CataluÒa;Total;2011;7.539.618
09 CataluÒa;Total;2010;7.512.381
09 CataluÒa;Total;2009;7.475.420
09 CataluÒa;Total;2008;7.364.078
09 CataluÒa;Total;2007;7.210.508
09 CataluÒa;Total;2006;7.134.697
09 CataluÒa;Total;2005;6.995.206
09 CataluÒa;Total;2004;6.813.319
09 CataluÒa;Total;2003;6.704.146
09 CataluÒa;Total;2002;6.506.440
09 CataluÒa;Total;2001;6.361.365
09 CataluÒa;Total;2000;6.261.999
09 CataluÒa;Total;1999;6.207.533
09 CataluÒa;Total;1998;6.147.610
10 Comunitat Valenciana;Total;2021;5.058.138
10 Comunitat Valenciana;Total;2020;5.057.353
10 Comunitat Valenciana;Total;2019;5.003.769
10 Comunitat Valenciana;Total;2018;4.963.703
10 Comunitat Valenciana;Total;2017;4.941.509
10 Comunitat Valenciana;Total;2016;4.959.968
10 Comunitat Valenciana;Total;2015;4.980.689
10 Comunitat Valenciana;Total;2014;5.004.844
10 Comunitat Valenciana;Total;2013;5.113.815
10 Comunitat Valenciana;Total;2012;5.129.266
10 Comunitat Valenciana;Total;2011;5.117.190
10 Comunitat Valenciana;Total;2010;5.111.706
10 Comunitat Valenciana;Total;2009;5.094.675
10 Comunitat Valenciana;Total;2008;5.029.601
10 Comunitat Valenciana;Total;2007;4.885.029
10 Comunitat Valenciana;Total;2006;4.806.908
10 Comunitat Valenciana;Total;2005;4.692.449
10 Comunitat Valenciana;Total;2004;4.543.304
10 Comunitat Valenciana;Total;2003;4.470.885
10 Comunitat Valenciana;Total;2002;4.326.708
10 Comunitat Valenciana;Total;2001;4.202.608
10 Comunitat Valenciana;Total;2000;4.120.729
10 Comunitat Valenciana;Total;1999;4.066.474
10 Comunitat Valenciana;Total;1998;4.023.441
11 Extremadura;Total;2021;1.059.501
11 Extremadura;Total;2020;1.063.987
11 Extremadura;Total;2019;1.067.710
11 Extremadura;Total;2018;1.072.863
11 Extremadura;Total;2017;1.079.920
11 Extremadura;Total;2016;1.087.778
11 Extremadura;Total;2015;1.092.997
11 Extremadura;Total;2014;1.099.632
11 Extremadura;Total;2013;1.104.004
11 Extremadura;Total;2012;1.108.130
11 Extremadura;Total;2011;1.109.367
11 Extremadura;Total;2010;1.107.220
11 Extremadura;Total;2009;1.102.410
11 Extremadura;Total;2008;1.097.744
11 Extremadura;Total;2007;1.089.990
11 Extremadura;Total;2006;1.086.373
11 Extremadura;Total;2005;1.083.879
11 Extremadura;Total;2004;1.075.286
11 Extremadura;Total;2003;1.073.904
11 Extremadura;Total;2002;1.073.050
11 Extremadura;Total;2001;1.073.381
11 Extremadura;Total;2000;1.069.420
11 Extremadura;Total;1999;1.073.574
11 Extremadura;Total;1998;1.069.419
12 Galicia;Total;2021;2.695.645
12 Galicia;Total;2020;2.701.819
12 Galicia;Total;2019;2.699.499
12 Galicia;Total;2018;2.701.743
12 Galicia;Total;2017;2.708.339
12 Galicia;Total;2016;2.718.525
12 Galicia;Total;2015;2.732.347
12 Galicia;Total;2014;2.748.695
12 Galicia;Total;2013;2.765.940
12 Galicia;Total;2012;2.781.498
12 Galicia;Total;2011;2.795.422
12 Galicia;Total;2010;2.797.653
12 Galicia;Total;2009;2.796.089
12 Galicia;Total;2008;2.784.169
